"Date","ADBE.Adjusted","residuals_garch","Volatility","SquaredVolatility"
2010-01-05,0.0163127190755965,0.774531155237473,0.0200273742146478,0.00145871109857567
2010-01-06,-0.00212431921041967,-0.0769149996109631,0.0196792822142293,0.00138498799076129
2010-01-07,-0.0195953004172584,-1.09918109536838,0.0187040043472304,0.00131738253981024
2010-01-08,-0.00543629412579039,-0.385400619693152,0.0190384225052063,0.00125068946810488
2010-01-11,-0.0131689024438941,-0.781282052143981,0.0182733330613008,0.00118971842768772
2010-01-12,-0.0153056903376938,-0.971420937541495,0.0180358653199801,0.00113008635201697
2010-01-13,0.0172369834441826,0.847396237931395,0.0181349151627607,0.00107322362526929
2010-01-14,-0.0105292536023889,-0.58077377891866,0.0180110243338455,0.0010192223113516
2010-01-15,-0.000836076231029548,-0.163862394850303,0.0175205923010428,0.000969345596487495
2010-01-19,0.0296644062753049,1.73521939630784,0.0167658174795961,0.000923430913961346
2010-01-20,-0.0125273715957492,-0.620064095178903,0.0186649887706961,0.000887190941589602
2010-01-21,-0.0185319083334869,-1.1163410083532,0.0181746560243649,0.000844604236725653
2010-01-22,-0.0410313570902354,-2.29142372846391,0.0185584147342303,0.000802603713736284
2010-01-25,-0.00641966656911652,-0.494247850749346,0.0224943442525695,0.000821568292211479
2010-01-26,-0.00646114510974716,-0.349509755046231,0.0215729948200807,0.000790146174659126
2010-01-27,-0.0238532257627142,-1.28290384325142,0.0205711753931468,0.00075514300330945
2010-01-28,-0.00757235193744332,-0.49507036125776,0.0213333103716982,0.000719670218652051
2010-01-29,-0.0181014350354114,-0.95835221347969,0.0204972660992248,0.000688638722737574
2010-02-01,0.00555729459157384,0.0830608843497673,0.0204759373780744,0.000654927504558859
2010-02-02,0.0152768020516461,0.790024251306486,0.0194304947654863,0.000627476025856175
2010-02-03,0,-0.0759784150587617,0.0191413858121282,0.000597083382091594
2010-02-04,-0.0226933335513628,-1.27401838293407,0.0182147971585186,0.000572753030712546
2010-02-05,0.0163055069796578,0.708913223075096,0.0189538202654458,0.000546294573820545
2010-02-08,-0.0222163171176937,-1.21087305607192,0.0185658383862615,0.000520431665239249
2010-02-09,0.00807966277798133,0.290548892888166,0.0191535808113743,0.00049669846849872
2010-02-10,0.0138313854096204,0.700105009957506,0.0183103454181503,0.000478408207027549
2010-02-11,-0.00366969635320746,-0.189708752383749,0.0179509958578901,0.000457145049732276
2010-02-12,-0.0371395039911544,-2.27365879705682,0.0171651568436829,0.00044202351745673
2010-02-16,0.011381681566812,0.395691294529773,0.0207962001830781,0.000488013872656846
2010-02-17,0.0162149594016689,0.78336875097544,0.0198971938653872,0.000472179220357124
2010-02-18,0.027758372108901,1.39332170475262,0.0195712290203758,0.000450638405555233
2010-02-19,0.0190708808276399,0.999772952683579,0.0206268860790505,0.000439648743970651
2010-02-22,-0.00532704131280815,-0.251965674941198,0.0206902035779599,0.000419879002606924
2010-02-23,-0.00774511284828394,-0.417403089172252,0.0196916959683586,0.000411159183651096
2010-02-24,0.0326547809823099,1.6592479126834,0.0189008801221369,0.000396207722719611
2010-02-25,0.000289455540789074,0.09105893707448,0.0207086723894369,0.000414574060533738
2010-02-26,0.00260078600053681,0.10149216110434,0.0196442571643638,0.000406122013351229
2010-03-01,0.00690246803226602,0.357030125250716,0.0186769876528384,0.000398968166400442
2010-03-02,-0.00430842857702274,-0.236391222527487,0.017920215640591,0.000383378137489447
2010-03-03,0.00230011644759687,0.0606042698171045,0.017157145254888,0.00037377981056658
2010-03-04,0.00344033982598413,0.214656988128277,0.0164145329875337,0.00036309698528808
2010-03-05,0.00627680307551648,0.33542727752655,0.0157831695776925,0.000352917637374975
2010-03-08,-0.00284814981433579,-0.172884057879569,0.0152713504864291,0.000340509505389375
2010-03-09,0.00170981969078587,0.0458110969471794,0.0147386821253415,0.000330674592563555
2010-03-10,0.000853923313556493,0.0206795289912733,0.0142379828457369,0.00032409238083539
2010-03-11,0.00198947606026456,0.116562916142993,0.0137893034154875,0.000314772736618429
2010-03-12,-0.00170506925027114,-0.201104811251903,0.0133995007713548,0.00030760620644907
2010-03-15,0.00934194547531941,0.68966698203441,0.0130724838032994,0.00029937975715518
2010-03-16,-0.0133316740232825,-1.05219764696168,0.013089220370522,0.000289720977413896
2010-03-17,0.0133316740232825,0.872134712112909,0.0135388581832274,0.00027889681304086
2010-03-18,0.00729925518753571,0.565668825842093,0.013721144858771,0.000269137704995756
2010-03-19,-0.0306755622568931,-2.31375747985164,0.0135681232909947,0.000263170763624993
2010-03-22,0.00804378362615044,0.337526468080785,0.0167170397449675,0.000298257891647045
2010-03-23,0.00769564721815863,0.456623908870936,0.016119727391982,0.000294502989984471
2010-03-24,0.0359720119673153,2.24866542503741,0.0156616920468684,0.000287895985403212
2010-03-25,-0.0176848879279543,-0.803239725237069,0.0189626735352568,0.000362802870591321
2010-03-26,-0.0100869620792383,-0.676555232901758,0.0187212328052216,0.000348531443898638
2010-03-29,0.00645625700698238,0.334539555493497,0.0183021149601181,0.000338846198857938
2010-03-30,-0.00168024042959614,-0.145730022174224,0.017561615505937,0.000329313121611401
2010-03-31,-0.00872634324589106,-0.576852347641468,0.0167974722033614,0.00032169634314926
2010-04-01,0.0104065836754872,0.588319217749098,0.0163954894640912,0.000310867910231079
2010-04-05,0.00697061203343319,0.375036397792397,0.0160372270470337,0.000301426183661085
2010-04-06,-0.00809045857152446,-0.480367988202037,0.0155264468172239,0.000291520702299018
2010-04-07,-0.0180897914936207,-1.33039732805665,0.015140060918946,0.000282796607098338
